,Company,Year,DIVIDEND YIELD,Price,HISTORICAL VOLATILITY 5 YEARS,RETURN ON EQUITY - TOTAL (%),Environment Pillar Score,RESEARCH & DEVELOPMENT/SALES,Governance Pillar Score,Social Pillar Score,CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions
728,DSM KONINKLIJKE,2012,3.7,39.995,0.3289,4.82,66.17,4.17,57.89,64.55,1612.83
729,DSM KONINKLIJKE,2013,2.61,58.28,0.2185,4.3,66.74,4.08,64.85,61.72,1527.35
730,DSM KONINKLIJKE,2014,3.3,51.5,0.2212,2.36,67.28,3.51,78.77,72.6,2110.3
731,DSM KONINKLIJKE,2015,3.48,47.37,0.2343,0.8,76.1,4.27,83.38,69.17,1776.75
732,DSM KONINKLIJKE,2016,2.93,56.24,0.2118,10.63,80.68,3.9,76.67,69.22,2396.02
733,DSM KONINKLIJKE,2017,2.35,75.85,0.2019,27.02,81.09,3.87,89.77,66.09,1265.1
734,DSM KONINKLIJKE,2018,2.58,79.02,0.1993,14.5,82.69,3.76,92.27,83.22,1063.2
735,DSM KONINKLIJKE,2019,1.97,116.7,0.1907,9.67,83.01,3.87,91.16,83.03,1148.49
736,DSM KONINKLIJKE,2020,1.74,140.0,0.2384,,,,,,
737,FIAT CHRYSLER AUTOS.,2010,1.3,3.3701,0.4815,4.76,85.93,0.67,61.87,88.86,43.89
738,FIAT CHRYSLER AUTOS.,2011,2.2,2.4294,0.5381,13.16,95.8,1.24,65.81,92.09,24.62
739,FIAT CHRYSLER AUTOS.,2012,0.0,1.9836,0.551,3.91,95.58,1.38,72.97,91.51,133.6
740,FIAT CHRYSLER AUTOS.,2013,0.0,3.4176,0.494,12.46,96.67,1.55,84.79,92.62,0.34
741,FIAT CHRYSLER AUTOS.,2014,0.0,5.854,0.4861,5.22,97.31,1.54,82.22,91.45,0.37
742,FIAT CHRYSLER AUTOS.,2015,0.0,7.3805,0.4806,2.26,98.3,1.31,66.65,95.98,0.41
743,FIAT CHRYSLER AUTOS.,2016,0.0,6.32,0.4439,10.02,98.04,1.5,59.45,95.94,13.61
744,FIAT CHRYSLER AUTOS.,2017,0.0,13.433,0.4227,17.46,98.02,1.53,81.68,94.38,11.99
745,FIAT CHRYSLER AUTOS.,2018,0.0,12.9653,0.4273,15.85,98.73,1.31,73.03,96.1,12.54
746,FIAT CHRYSLER AUTOS.,2019,4.47,14.53,0.3852,24.88,98.85,1.21,81.51,95.49,12.29
747,FIAT CHRYSLER AUTOS.,2020,0.0,12.59,0.4413,,,,,,
748,FRESENIUS MED.CARE,2010,1.38,44.18,0.2039,14.58,68.79,0.8,71.21,64.76,
749,FRESENIUS MED.CARE,2011,1.26,51.47,0.204,13.2,59.68,0.87,88.58,69.16,
750,FRESENIUS MED.CARE,2012,1.33,51.86,0.2131,14.28,54.1,0.81,77.46,59.72,
751,FRESENIUS MED.CARE,2013,1.56,48.035,0.188,12.36,56.25,0.86,83.82,57.01,
752,FRESENIUS MED.CARE,2014,1.32,58.19,0.1748,10.89,45.35,0.77,84.62,58.52,
753,FRESENIUS MED.CARE,2015,0.99,78.868,0.2035,11.04,46.82,0.84,84.18,64.46,
754,FRESENIUS MED.CARE,2016,1.1,72.667,0.2012,11.64,46.64,0.91,83.35,74.29,
755,FRESENIUS MED.CARE,2017,1.15,83.28299999999999,0.1925,12.76,58.23,0.73,84.52,70.87,
756,FRESENIUS MED.CARE,2018,1.5,70.78,0.212,18.37,59.68,0.81,90.73,80.71,
757,FRESENIUS MED.CARE,2019,1.79,65.22,0.2384,10.12,64.47,0.94,91.4,75.31,
758,FRESENIUS MED.CARE,2020,1.66,72.44,0.2462,,,,,,
759,KBC GROUP,2010,0.0,29.135,0.6556,7.27,78.33,,30.88,90.62,0.63
760,KBC GROUP,2011,4.41,12.755,0.6867,-3.82,87.47,,32.19,89.28,1.44
761,KBC GROUP,2012,0.05,19.775,0.7673,-2.39,74.52,,37.95,88.83,1.17
762,KBC GROUP,2013,1.87,40.185,0.7219,2.91,74.59,,45.75,89.24,
763,KBC GROUP,2014,0.0,43.02,0.4979,9.45,74.08,,60.64,58.6,
764,KBC GROUP,2015,2.66,56.38,0.4862,10.75,73.79,,37.5,76.96,2.6
765,KBC GROUP,2016,1.32,55.15,0.4193,15.63,84.9,,37.63,74.35,2.36
766,KBC GROUP,2017,2.81,69.64,0.2407,15.13,92.8,,35.38,73.86,2.06
767,KBC GROUP,2018,3.36,62.5,0.1971,14.4,91.28,,43.1,77.95,2.26
768,KBC GROUP,2019,3.64,67.24,0.1984,13.48,91.39,,41.59,80.78,1.92
769,KBC GROUP,2020,0.0,56.32,0.3728,,,,,,
770,KONINKLIJKE AHOLD DELHAIZE,2010,2.31,9.9793,0.2425,15.03,89.97,,62.48,75.21,
771,KONINKLIJKE AHOLD DELHAIZE,2011,3.08,9.4542,0.2418,17.26,84.49,,67.13,73.42,
772,KONINKLIJKE AHOLD DELHAIZE,2012,4.34,9.2545,0.2237,13.93,83.22,,74.75,73.79,
773,KONINKLIJKE AHOLD DELHAIZE,2013,3.42,12.9246,0.1579,43.49,82.42,,90.76,76.82,
774,KONINKLIJKE AHOLD DELHAIZE,2014,3.39,13.9163,0.1776,10.45,81.62,,94.35,83.99,
775,KONINKLIJKE AHOLD DELHAIZE,2015,2.46,19.5199,0.19399999999999998,16.28,66.27,,56.25,79.44,
776,KONINKLIJKE AHOLD DELHAIZE,2016,2.52,20.645,0.1867,7.58,67.99,,79.6,74.28,4.19
777,KONINKLIJKE AHOLD DELHAIZE,2017,3.36,16.97,0.2004,11.56,72.35,,68.8,80.86,5.93
778,KONINKLIJKE AHOLD DELHAIZE,2018,2.76,22.845,0.2067,11.96,71.09,,84.07,82.4,6.25
779,KONINKLIJKE AHOLD DELHAIZE,2019,2.69,24.13,0.1907,12.49,65.05,,23.84,80.24,5.82
780,KONINKLIJKE AHOLD DELHAIZE,2020,4.15,23.15,0.21100000000000002,,,,,,
781,RWE,2010,7.09,49.216,0.2336,24.18,95.44,0.29,74.16,84.51,1950.9
782,RWE,2011,12.08,28.869,0.2772,12.65,95.49,0.3,65.05,73.8,1833.19
783,RWE,2012,6.29,31.82,0.2983,10.01,91.05,0.3,73.77,61.27,1570.45
784,RWE,2013,3.81,26.215999999999998,0.2985,-27.7,94.77,0.29,56.14,65.46,1535.54
785,RWE,2014,3.78,26.428,0.3108,22.53,92.9,0.24,60.36,66.46,1626.47
786,RWE,2015,8.86,11.289000000000001,0.3777,-2.57,92.33,0.58,43.8,69.47,1885.89
787,RWE,2016,0.0,12.21,0.3686,-132.78,92.61,0.38,50.05,66.7,1887.57
788,RWE,2017,2.46,20.322,0.3716,39.95,86.57,0.43,41.7,75.44,5066.08
789,RWE,2018,2.62,19.105,0.3889,4.32,87.85,0.87,57.44,72.31,12272.9
790,RWE,2019,2.72,25.73,0.3794,66.18,86.96,0.19,44.52,68.29,12723.33
791,RWE,2020,2.33,34.3,0.3734,,,,,,
792,UNICREDIT,2010,1.75,52.1464,0.4756,1.88,76.88,,91.21,76.91,0.55
793,UNICREDIT,2011,4.0,22.8713,0.5357,-16.21,87.19,,79.4,84.8,0.62
794,UNICREDIT,2012,0.0,15.5292,0.6147,1.43,84.56,,76.85,85.76,0.37
795,UNICREDIT,2013,1.76,23.6828,0.6169,-25.76,85.37,,82.41,84.15,0.35
796,UNICREDIT,2014,1.87,24.7365,0.515,4.26,85.17,,80.47,80.3,0.38
797,UNICREDIT,2015,2.14,26.4076,0.5055,3.33,87.13,,78.88,86.45,0.52
798,UNICREDIT,2016,5.47,10.5313,0.4712,-27.99,82.3,,73.98,84.97,0.45
799,UNICREDIT,2017,0.0,16.7162,0.4117,11.87,82.38,,73.48,78.87,0.32
800,UNICREDIT,2018,2.94,10.894,0.363,7.17,83.9,,83.82,84.71,0.39
801,UNICREDIT,2019,2.17,12.44,0.3763,6.04,84.63,,77.79,85.36,0.32
802,UNICREDIT,2020,0.0,8.295,0.5207,,,,,,
803,ASSICURAZIONI GENERALI,2010,2.32,15.08,0.2905,10.13,96.19,,70.47,91.05,0.19
804,ASSICURAZIONI GENERALI,2011,3.66,12.31,0.3088,4.85,96.78,,95.26,90.07,0.23
805,ASSICURAZIONI GENERALI,2012,1.65,12.13,0.3466,0.52,97.06,,94.58,88.54,0.18
806,ASSICURAZIONI GENERALI,2013,1.22,16.39,0.3544,11.05,96.46,,89.39,88.26,0.42
807,ASSICURAZIONI GENERALI,2014,2.77,16.25,0.2865,9.48,94.98,,85.3,93.35,0.41
808,ASSICURAZIONI GENERALI,2015,3.5,17.16,0.2751,11.25,95.16,,75.46,93.17,0.44
809,ASSICURAZIONI GENERALI,2016,6.21,11.6,0.2917,11.0,93.84,,78.05,86.57,0.46
810,ASSICURAZIONI GENERALI,2017,5.24,15.26,0.2534,10.76,98.15,,78.44,89.35,0.38
811,ASSICURAZIONI GENERALI,2018,5.88,14.445,0.2323,11.34,95.76,,94.93,87.29,0.43
812,ASSICURAZIONI GENERALI,2019,4.69,19.17,0.2358,12.42,94.81,,93.61,90.82,0.32
813,ASSICURAZIONI GENERALI,2020,6.87,13.965,0.3324,,,,,,
814,CELLNEX TELECOM,2010,,,,,,,,,
815,CELLNEX TELECOM,2011,,,,,,,,,
816,CELLNEX TELECOM,2012,,,,7.58,,,,,
817,CELLNEX TELECOM,2013,,,,17.52,,,,,
818,CELLNEX TELECOM,2014,,,,11.68,,,,,
819,CELLNEX TELECOM,2015,0.0,13.065999999999999,0.1343,9.94,17.55,,38.22,48.75,38.35
820,CELLNEX TELECOM,2016,0.65,11.0568,0.2184,8.62,23.19,,33.51,45.92,9.39
821,CELLNEX TELECOM,2017,2.37,16.7393,0.2137,6.77,20.55,,48.06,47.74,7.95
822,CELLNEX TELECOM,2018,0.45,19.0649,0.1991,-3.06,24.93,,40.22,48.48,7.97
823,CELLNEX TELECOM,2019,0.24,35.3734,0.2184,-0.4,33.03,,79.86,45.23,8.29
824,CELLNEX TELECOM,2020,0.13,51.18,0.287,,,,,,
825,DELIVERY HERO,2010,,,,,,,,,
826,DELIVERY HERO,2011,,,,,,,,,
827,DELIVERY HERO,2012,,,,,,,,,
828,DELIVERY HERO,2013,,,,-95.7,,,,,
829,DELIVERY HERO,2014,,,,-55.72,,,,,
830,DELIVERY HERO,2015,,,,-46.98,,,,,
831,DELIVERY HERO,2016,,,,-22.4,,,,,
832,DELIVERY HERO,2017,0.0,37.05,0.40299999999999997,-26.33,9.84,,35.68,77.22,
833,DELIVERY HERO,2018,0.0,34.26,0.3718,-2.29,11.8,,53.55,77.83,
834,DELIVERY HERO,2019,0.0,43.83,0.3433,13.27,20.37,,68.41,85.17,
835,DELIVERY HERO,2020,0.0,96.34,0.4645,,,,,,
836,ENDESA,2010,5.25,10.2954,0.309,25.8,95.52,,83.05,89.04,4.46
837,ENDESA,2011,6.26,8.544,0.3024,11.94,82.0,,76.78,88.64,6.95
838,ENDESA,2012,3.88,8.2047,0.3147,10.18,65.71,,69.85,81.94,0.88
839,ENDESA,2013,0.0,11.413,0.2665,9.13,65.62,0.0,70.47,87.58,
840,ENDESA,2014,4.19,14.2,0.2231,22.94,71.81,,37.39,89.1,808.1
841,ENDESA,2015,3.75,20.24,0.223,12.33,72.56,0.11,42.38,90.18,843.28
842,ENDESA,2016,5.94,17.99,0.2082,15.69,74.51,0.09,55.16,93.26,1019.89
843,ENDESA,2017,7.08,18.83,0.20199999999999999,16.21,70.3,0.12,58.93,91.92,1464.53
844,ENDESA,2018,6.9,20.04,0.1923,15.63,84.31,0.05,66.17,90.68,1295.42
845,ENDESA,2019,6.02,23.69,0.1842,2.04,85.39,0.1,72.67,90.86,1224.75
846,ENDESA,2020,6.08,24.27,0.2952,,,,,,
847,LEGRAND,2010,2.45,28.565,0.287,16.34,45.14,4.77,45.41,66.3,
848,LEGRAND,2011,3.67,23.98,0.2801,16.86,41.75,4.74,32.98,73.96,92.11
849,LEGRAND,2012,3.26,28.49,0.2847,16.49,43.33,4.41,54.8,91.27,284.82
850,LEGRAND,2013,2.44,41.045,0.2381,16.52,45.81,4.43,64.27,91.44,272.56
851,LEGRAND,2014,2.61,40.27,0.2115,15.68,47.76,4.29,68.88,98.13,316.76
852,LEGRAND,2015,2.1,52.38,0.2169,14.99,52.09,4.49,82.92,97.15,353.21
853,LEGRAND,2016,2.2,52.35,0.207,16.0,80.64,4.74,83.06,95.21,348.54
854,LEGRAND,2017,1.9,62.55,0.1955,17.36,81.53,4.57,89.81,95.01,289.61
855,LEGRAND,2018,2.37,53.14,0.1846,17.68,82.32,4.61,89.99,94.03,363.47
856,LEGRAND,2019,1.87,71.82,0.1833,17.22,83.66,4.71,82.84,92.52,309.82
857,LEGRAND,2020,1.86,72.0,0.2542,,,,,,
858,SARTORIUS STEDIM BIOTECH,2010,1.76,5.6751,0.4648,10.16,,6.43,,,
859,SARTORIUS STEDIM BIOTECH,2011,2.02,7.4418,0.4608,11.34,,5.99,,,
860,SARTORIUS STEDIM BIOTECH,2012,1.43,11.6652,0.4562,13.74,,5.69,,,
861,SARTORIUS STEDIM BIOTECH,2013,0.94,19.5087,0.4368,14.56,,6.12,,,
862,SARTORIUS STEDIM BIOTECH,2014,0.84,23.9088,0.2424,14.34,,5.64,,,
863,SARTORIUS STEDIM BIOTECH,2015,0.38,56.6428,0.2497,20.1,,4.7,,,
864,SARTORIUS STEDIM BIOTECH,2016,0.57,58.79,0.2613,21.96,,4.52,,,
865,SARTORIUS STEDIM BIOTECH,2017,0.74,56.76,0.2696,19.76,60.7,4.92,12.45,83.61,
866,SARTORIUS STEDIM BIOTECH,2018,0.43,106.2,0.2503,21.8,60.24,5.0,36.29,84.61,
867,SARTORIUS STEDIM BIOTECH,2019,0.42,136.8,0.2536,21.37,59.1,5.5,24.88,84.77,
868,SARTORIUS STEDIM BIOTECH,2020,0.11,313.2,0.307,,,,,,
869,CAPGEMINI,2010,2.37,33.685,0.3626,6.57,74.44,,69.57,58.45,37.92
870,CAPGEMINI,2011,3.65,27.415,0.3781,9.43,79.7,,46.37,58.89,12.63
871,CAPGEMINI,2012,3.27,30.565,0.369,8.46,73.29,,52.29,58.74,11.21
872,CAPGEMINI,2013,2.1,47.695,0.2849,9.89,72.93,,27.28,57.92,12.81
873,CAPGEMINI,2014,2.0,55.02,0.287,12.19,73.74,,45.54,61.61,14.23
874,CAPGEMINI,2015,1.48,80.98,0.284,18.82,75.67,,26.91,74.63,26.47
875,CAPGEMINI,2016,1.81,74.41,0.2598,13.01,78.97,,32.13,84.78,25.22
876,CAPGEMINI,2017,1.53,101.5,0.2164,11.53,77.26,,36.35,83.83,22.17
877,CAPGEMINI,2018,1.65,102.8,0.2042,10.11,76.49,,45.72,88.74,22.44
878,CAPGEMINI,2019,1.6,106.55,0.20600000000000002,10.76,77.87,,53.6,90.52,19.99
879,CAPGEMINI,2020,1.17,115.0,0.3591,,,,,,
880,HEINEKEN HOLDING,2010,2.08,31.32,0.2532,19.5,,,,,
881,HEINEKEN HOLDING,2011,2.69,29.7,0.261,15.33,70.9,,27.52,73.11,
882,HEINEKEN HOLDING,2012,2.16,39.865,0.2705,27.95,65.96,,19.95,82.84,
883,HEINEKEN HOLDING,2013,1.94,47.39,0.2119,11.98,68.77,,16.92,79.69,
884,HEINEKEN HOLDING,2014,1.7,52.41,0.2035,12.94,75.7,,18.57,71.9,
885,HEINEKEN HOLDING,2015,1.63,72.3,0.2083,14.87,70.87,,33.86,75.03,
886,HEINEKEN HOLDING,2016,2.08,66.22,0.1959,11.67,72.91,,25.86,72.43,
887,HEINEKEN HOLDING,2017,1.71,79.68,0.1813,14.77,80.33,,28.16,71.1,
888,HEINEKEN HOLDING,2018,1.97,77.15,0.17,13.94,76.55,,27.99,75.09,
889,HEINEKEN HOLDING,2019,1.9,86.95,0.1604,14.27,79.64,,23.16,74.56,
890,HEINEKEN HOLDING,2020,2.05,82.1,0.2298,,,,,,
891,MERCK KGAA,2010,1.72,29.01,0.2566,6.39,74.28,15.04,68.66,68.4,2.35
892,MERCK KGAA,2011,1.74,35.85,0.2665,5.94,74.89,14.76,71.68,64.12,3.56
893,MERCK KGAA,2012,1.55,48.48,0.2498,5.45,78.77,13.53,65.1,75.74,3.3
894,MERCK KGAA,2013,1.37,62.0,0.2261,11.46,83.56,13.56,53.9,78.29,4.2
895,MERCK KGAA,2014,1.27,74.59,0.2177,10.54,86.7,14.78,48.35,82.16,23.21
896,MERCK KGAA,2015,1.07,93.19,0.243,9.39,90.07,13.29,43.24,96.45,25.02
897,MERCK KGAA,2016,1.11,94.31,0.2163,12.54,90.86,13.13,48.85,95.76,26.97
898,MERCK KGAA,2017,1.32,91.155,0.2148,19.12,90.36,13.93,41.33,96.17,20.27
899,MERCK KGAA,2018,1.28,97.76,0.2196,22.39,89.94,14.96,52.06,96.19,22.33
900,MERCK KGAA,2019,1.16,108.1,0.213,7.77,91.28,13.83,58.44,96.64,20.6
901,MERCK KGAA,2020,0.98,132.3,0.2453,,,,,,
902,NOKIA,2010,5.38,7.44,0.3559,13.47,73.74,11.68,84.86,85.46,149.71
903,NOKIA,2011,8.13,4.922,0.4033,-8.87,68.46,11.64,83.77,89.2,74.46
904,NOKIA,2012,9.48,2.11,0.4845,-31.16,87.5,13.82,85.82,85.84,143.53
905,NOKIA,2013,0.0,5.93,0.545,-8.54,84.0,18.3,79.88,86.94,140.42
906,NOKIA,2014,1.75,6.28,0.5252,45.92,82.27,18.57,72.71,84.79,
907,NOKIA,2015,2.08,6.725,0.509,25.8,83.82,16.03,89.34,89.79,
908,NOKIA,2016,4.16,3.842,0.4856,-5.01,86.66,20.77,73.95,88.15,1834.77
909,NOKIA,2017,4.57,4.158,0.389,-8.25,93.12,21.84,77.74,86.17,1536.37
910,NOKIA,2018,3.72,5.1080000000000005,0.2905,-2.16,91.66,21.03,85.38,87.97,1726.34
911,NOKIA,2019,4.73,3.1180000000000003,0.3296,0.05,88.05,19.28,89.19,88.85,1502.76
912,NOKIA,2020,0.0,3.242,0.4623,,,,,,
913,PEUGEOT,2010,0.0,18.0858,0.4138,8.68,94.41,2.22,85.81,85.87,868.41
914,PEUGEOT,2011,8.37,8.3757,0.4643,4.25,92.32,2.18,84.83,83.03,859.76
915,PEUGEOT,2012,0.0,3.2084,0.5096,-42.35,90.32,3.69,82.76,80.72,
916,PEUGEOT,2013,0.0,7.4737,0.5153,-28.34,90.23,2.09,75.59,80.61,
917,PEUGEOT,2014,0.0,9.033,0.5082,-8.77,89.87,2.39,87.4,87.81,
918,PEUGEOT,2015,0.0,15.56,0.4989,9.07,92.1,3.4,58.35,86.45,
919,PEUGEOT,2016,0.0,13.895,0.4593,14.91,94.01,2.02,57.35,86.16,
920,PEUGEOT,2017,2.51,19.145,0.3817,14.18,94.4,2.14,55.16,85.9,
921,PEUGEOT,2018,2.67,19.82,0.317,17.86,96.11,2.45,55.95,84.0,
922,PEUGEOT,2019,3.28,23.79,0.3115,17.71,96.51,2.82,53.15,91.21,
923,PEUGEOT,2020,0.0,18.97,0.396,,,,,,
924,RYANAIR HOLDINGS,2010,0.0,3.688,0.3492,11.58,5.17,,54.63,33.84,
925,RYANAIR HOLDINGS,2011,0.0,3.67,0.3527,12.91,6.96,,43.14,35.42,
926,RYANAIR HOLDINGS,2012,0.0,4.563,0.3417,17.9,19.05,,52.69,29.57,
927,RYANAIR HOLDINGS,2013,0.0,5.547999999999999,0.253,17.31,16.39,,55.28,32.44,
928,RYANAIR HOLDINGS,2014,0.0,8.435,0.2639,15.94,17.28,,30.09,31.91,
929,RYANAIR HOLDINGS,2015,0.0,14.195,0.2455,23.68,19.56,,44.63,35.66,
930,RYANAIR HOLDINGS,2016,0.0,13.955,0.2477,40.86,12.55,,57.37,33.91,
931,RYANAIR HOLDINGS,2017,0.0,17.35,0.2485,32.82,18.23,,46.84,42.37,
932,RYANAIR HOLDINGS,2018,0.0,11.855,0.2663,32.62,16.43,,29.03,37.94,
933,RYANAIR HOLDINGS,2019,0.0,13.85,0.2877,18.28,14.7,,33.97,33.49,
934,RYANAIR HOLDINGS,2020,0.0,15.245,0.4029,12.81,24.06,,56.49,37.84,
935,SAINT GOBAIN,2010,2.86,35.01,0.3977,6.68,96.85,1.0,45.02,58.08,2.46
936,SAINT GOBAIN,2011,3.84,29.95,0.4176,7.2,95.38,0.99,55.54,62.45,28.42
937,SAINT GOBAIN,2012,4.56,27.175,0.4351,4.35,95.58,1.04,52.65,61.57,224.35
938,SAINT GOBAIN,2013,3.16,39.24,0.3433,3.41,95.46,0.99,56.31,72.29,
939,SAINT GOBAIN,2014,3.66,33.895,0.2884,5.36,94.21,0.97,67.54,84.76,
940,SAINT GOBAIN,2015,3.17,39.08,0.285,7.01,95.48,1.1,73.37,85.51,
941,SAINT GOBAIN,2016,3.04,40.85,0.2581,6.95,95.89,1.13,63.2,83.62,
942,SAINT GOBAIN,2017,2.61,48.32,0.213,8.41,95.73,1.1,73.64,81.11,
943,SAINT GOBAIN,2018,4.13,31.445,0.20800000000000002,2.31,95.64,1.09,80.04,77.96,
944,SAINT GOBAIN,2019,3.55,37.48,0.2096,7.58,95.84,1.09,81.43,86.07,496.6
945,SAINT GOBAIN,2020,0.0,39.54,0.3816,,,,,,
946,SIEMENS ENERGY N,2010,,,,,,,,,
947,SIEMENS ENERGY N,2011,,,,,,,,,
948,SIEMENS ENERGY N,2012,,,,,,,,,
949,SIEMENS ENERGY N,2013,,,,,,,,,
950,SIEMENS ENERGY N,2014,,,,,,,,,
951,SIEMENS ENERGY N,2015,,,,,,,,,
952,SIEMENS ENERGY N,2016,,,,,,,,,
953,SIEMENS ENERGY N,2017,,,,,,3.69,,,
954,SIEMENS ENERGY N,2018,,,,5.58,,3.81,,,
955,SIEMENS ENERGY N,2019,,,,1.48,,3.48,,,
956,SIEMENS ENERGY N,2020,0.0,23.0,0.0,,,,,,
957,SOCIETE GENERALE,2010,0.61,40.68,0.4189,8.08,92.89,,78.14,85.88,1.2
958,SOCIETE GENERALE,2011,0.0,17.635,0.461,5.06,90.11,,82.55,83.84,1.48
959,SOCIETE GENERALE,2012,0.0,24.435,0.5162,1.0,89.5,,83.33,83.09,1.09
960,SOCIETE GENERALE,2013,1.08,41.475,0.5021,3.67,89.57,,87.06,81.92,0.79
961,SOCIETE GENERALE,2014,2.79,35.895,0.4549,4.3,90.72,,80.53,83.77,1.13
962,SOCIETE GENERALE,2015,2.76,43.41,0.436,6.23,90.59,,73.92,91.75,2.22
963,SOCIETE GENERALE,2016,5.0,40.0,0.4009,5.62,89.34,,85.67,89.4,2.05
964,SOCIETE GENERALE,2017,5.07,43.38,0.3291,3.86,88.69,,86.11,88.64,1.59
965,SOCIETE GENERALE,2018,6.65,33.095,0.2823,5.7,96.18,,87.61,88.18,2.4
966,SOCIETE GENERALE,2019,7.73,28.475,0.3075,4.39,,,,,
967,SOCIETE GENERALE,2020,0.0,16.285999999999998,0.4947,,,,,,
968,WORLDLINE,2010,,,,,,,,,
969,WORLDLINE,2011,,,,,,,,,
970,WORLDLINE,2012,,,,24.47,,,,,
971,WORLDLINE,2013,,,,31.32,,,,,
972,WORLDLINE,2014,0.0,15.85,0.1393,20.81,,,,,
973,WORLDLINE,2015,0.0,23.5,0.1842,14.59,,,,,
974,WORLDLINE,2016,0.0,24.9,0.2132,15.02,,,,,
975,WORLDLINE,2017,0.0,42.065,0.196,8.86,77.33,,54.33,90.96,1.61
976,WORLDLINE,2018,0.0,47.24,0.2326,4.14,74.94,,72.82,91.33,2.05
977,WORLDLINE,2019,0.0,55.4,0.2543,9.13,73.22,,69.47,95.76,1.72
978,WORLDLINE,2020,0.0,73.08,0.3598,,,,,,
979,ZALANDO,2010,,,,,,,,,
980,ZALANDO,2011,,,,,,,,,
981,ZALANDO,2012,,,,-30.18,,,,,
982,ZALANDO,2013,,,,-23.21,,,,,
983,ZALANDO,2014,0.0,18.500999999999998,0.0,5.63,,0.85,,,
984,ZALANDO,2015,0.0,31.424,0.3644,10.13,40.42,0.78,53.08,46.78,37.44
985,ZALANDO,2016,0.0,35.281,0.3943,9.0,84.99,1.59,67.32,72.58,40.36
986,ZALANDO,2017,0.0,41.108999999999995,0.3472,7.0,91.84,1.14,63.67,76.66,34.06
987,ZALANDO,2018,0.0,28.99,0.3469,3.33,93.29,1.02,67.4,73.0,38.91
988,ZALANDO,2019,0.0,38.26,0.3642,6.17,93.56,1.06,73.15,76.23,35.0
989,ZALANDO,2020,0.0,78.86,0.4239,,,,,,
990,AENA SME,2010,,,,,,,,,
991,AENA SME,2011,,,,,,,,,
992,AENA SME,2012,,,,-2.58,,,,,
993,AENA SME,2013,,,,21.79,,,,,
994,AENA SME,2014,,,,14.6,36.07,,3.96,9.28,
995,AENA SME,2015,0.0,101.8,0.1822,21.32,43.34,25.21,17.73,38.9,
996,AENA SME,2016,2.22,122.15,0.2008,25.04,54.4,24.31,20.79,54.6,
997,AENA SME,2017,2.38,160.85,0.2012,23.08,51.58,,17.21,55.43,
998,AENA SME,2018,4.85,133.95,0.1976,22.67,67.93,0.0,22.41,82.64,
999,AENA SME,2019,4.16,166.6,0.185,23.18,73.11,0.01,56.31,85.4,
1000,AENA SME,2020,0.0,145.9,0.3745,,,,,,
1001,AKZO NOBEL,2010,3.11,43.761,0.2994,9.0,79.08,2.14,73.4,80.57,587.22
1002,AKZO NOBEL,2011,3.99,35.5567,0.3156,5.24,62.98,2.08,91.07,85.2,1100.4
1003,AKZO NOBEL,2012,3.63,40.2506,0.313,-26.94,63.07,2.35,87.67,84.49,1132.69
1004,AKZO NOBEL,2013,2.6,56.1857,0.2637,11.6,67.09,0.76,82.98,81.58,1146.91
1005,AKZO NOBEL,2014,2.71,53.9194,0.2503,9.59,62.16,0.76,64.96,85.59,
1006,AKZO NOBEL,2015,2.3,64.4151,0.2625,15.95,70.15,0.63,80.34,82.45,
1007,AKZO NOBEL,2016,2.72,58.1197,0.2451,14.88,64.03,0.68,81.49,80.02,100.83
1008,AKZO NOBEL,2017,2.37,78.2551,0.2152,13.4,61.84,2.06,63.96,77.83,
1009,AKZO NOBEL,2018,3.12,74.6793,0.1898,75.42,86.91,0.63,68.59,73.29,1384.74
1010,AKZO NOBEL,2019,2.08,88.3,0.1861,5.93,64.83,0.69,66.99,74.66,1375.21
1011,AKZO NOBEL,2020,2.2,87.38,0.2811,,,,,,
1012,DEUTSCHE LUFTHANSA,2010,0.0,15.705,0.3005,15.78,68.21,0.03,29.43,63.64,
1013,DEUTSCHE LUFTHANSA,2011,6.38,9.399,0.3194,-0.16,81.53,0.05,38.31,76.89,
1014,DEUTSCHE LUFTHANSA,2012,2.14,11.7,0.3279,12.23,75.98,0.03,30.71,78.59,
1015,DEUTSCHE LUFTHANSA,2013,0.0,15.100999999999999,0.3009,5.78,78.89,0.03,46.6,78.86,
1016,DEUTSCHE LUFTHANSA,2014,3.42,13.17,0.3031,1.1,80.54,0.03,28.33,79.34,
1017,DEUTSCHE LUFTHANSA,2015,0.0,13.109000000000002,0.3005,34.88,87.19,0.05,27.66,79.47,
1018,DEUTSCHE LUFTHANSA,2016,1.19,12.6,0.3081,27.69,87.65,0.08,38.21,81.47,263.62
1019,DEUTSCHE LUFTHANSA,2017,1.76,28.488000000000003,0.3156,28.56,88.02,0.08,41.82,83.16,250.2
1020,DEUTSCHE LUFTHANSA,2018,1.98,20.25,0.3247,23.42,85.36,0.12,57.17,83.33,272.04
1021,DEUTSCHE LUFTHANSA,2019,4.53,17.67,0.3295,12.37,76.62,0.13,50.93,81.33,259.33
1022,DEUTSCHE LUFTHANSA,2020,0.0,9.782,0.4583,,,,,,
1023,FRESENIUS,2010,1.18,21.14,0.2956,12.7,74.09,1.52,42.08,58.69,
